CATEGORY,NO,AREA_CD,AREA_NM,ENG_NM,longtitude,latitude
관광특구,1,POI001,강남 MICE 관광특구,Gangnam MICE Special Tourist Zone,,
관광특구,2,POI002,동대문 관광특구,Dongdaemun Fashion Town Special Tourist Zone,127.01282716149097,37.569193252641526
관광특구,3,POI003,명동 관광특구,Myeong-dong Namdaemun Bukchang-dong Da-dong Mugyo-dong Special Tourist Zone,126.985209080382,37.5626571977151
관광특구,4,POI004,이태원 관광특구,Itaewon Special Tourist Zone,126.997388675434,37.5349073364554
관광특구,5,POI005,잠실 관광특구,Jamsil Special Tourist Zone,,
관광특구,6,POI006,종로·청계 관광특구,Jongno Cheonggye Special Toruist Zone,,
관광특구,7,POI007,홍대 관광특구,HongDae Culture & Arts Special Tourist Zone,,
고궁·문화유산,8,POI008,경복궁,Gyeongbokgung Palace,126.97689786832184,37.577613288258206
고궁·문화유산,9,POI009,광화문·덕수궁,Gwanghwamun & Deoksugung Palace,126.974894754989,37.5655638710672
고궁·문화유산,10,POI010,보신각,Bosingak,126.983645583112,37.5697676518348
고궁·문화유산,11,POI011,서울 암사동 유적,Amsa Prehistoric Settlement Site,127.130257802123,37.5605464139303
고궁·문화유산,12,POI012,창덕궁·종묘,Changdeokgung Palace & Jongmyo Shrine,126.994212979827,37.5761080433804
인구밀집지역,13,POI013,가산디지털단지역,Gasan Digital Complex station,126.882661758356,37.4803959660982
인구밀집지역,14,POI014,강남역,Gangnam station,127.02800140627488,37.49808633653005
인구밀집지역,15,POI015,건대입구역,Konkuk University station,127.06920291650829,37.54040751726388
인구밀집지역,16,POI016,고덕역,Godeok station,127.15416500963447,37.55504766830918
인구밀집지역,17,POI017,고속터미널역,Express Bus Terminal station,127.00512100872538,37.50454885557265
인구밀집지역,18,POI018,교대역,Seoul National University of Education station,127.013867969161,37.4927431676548
인구밀집지역,19,POI019,구로디지털단지역,Guro Digital Complex station,126.901473080039,37.4852605752505
인구밀집지역,20,POI020,구로역,Guro station,126.88230806229326,37.50334155631282
인구밀집지역,21,POI021,군자역,Gunja station,127.0795106156054,37.557151488837924
인구밀집지역,22,POI022,남구로역,Namguro station,126.88741505160269,37.48625714438263
인구밀집지역,23,POI023,대림역,Daerim station,126.894931036051,37.4933099444417
인구밀집지역,24,POI024,동대문역,Dongdaemun station,127.01063381083677,37.571669405802616
인구밀집지역,25,POI025,뚝섬역,Ttukseom station,127.04738727881,37.547241554679
인구밀집지역,26,POI026,미아사거리역,Miasageori station,127.03008663628454,37.61327836400571
인구밀집지역,27,POI027,발산역,Balsan station,126.83773640693936,37.558677743241596
인구밀집지역,28,POI028,북한산우이역,Bukhansan Ui station,127.01275713087601,37.66288704047998
인구밀집지역,29,POI029,사당역,Sadang station,126.98155858357366,37.47656223234824
인구밀집지역,30,POI030,삼각지역,Samgakji station,126.972922951307,37.5344393447708
인구밀집지역,31,POI031,서울대입구역,Seoul National University station,126.952713197762,37.4812845080678
인구밀집지역,32,POI032,서울식물원·마곡나루역,Seoul Botanic Park·Magongnaru station,126.82723611271075,37.56635914919501
인구밀집지역,33,POI033,서울역,Seoul station,126.970606917394,37.5546788388674
인구밀집지역,34,POI034,선릉역,Seolleung station,127.04896282498558,37.504497373023206
인구밀집지역,35,POI035,성신여대입구역,Sungshin Women's University station,127.0171260607647,37.59296812939267
인구밀집지역,36,POI036,수유역,Suyu station,127.02550910860451,37.63788539420793
인구밀집지역,37,POI037,신논현역·논현역,Sinnonhyeon·Nonhyeon station,127.025492036104,37.504811111562
인구밀집지역,38,POI038,신도림역,Sindorim station,126.891312500851,37.508908482648
인구밀집지역,39,POI039,신림역,Sillim station,126.9297453749671,37.484267135140364
인구밀집지역,40,POI040,신촌·이대역,Sinchon·Ewha Womans University station,126.94494635146667,37.55762493414714
인구밀집지역,41,POI041,양재역,Yangjae station,127.03416413380752,37.48457681195669
인구밀집지역,42,POI042,역삼역,Yeoksam station,127.03646946847,37.5006744185994
인구밀집지역,43,POI043,연신내역,Yeonsinnae station,126.92110296894133,37.61920414913163
인구밀집지역,44,POI044,오목교역·목동운동장,Omokgyo·Mok-dong Stadium station,126.882098732698,37.5307291364642
인구밀집지역,45,POI045,왕십리역,Wangsimni station,127.03710337610202,37.561268363317176
인구밀집지역,46,POI046,용산역,Yongsan station,126.964824061815,37.5300763645794
인구밀집지역,47,POI047,이태원역,Itaewon station,126.994333861918,37.5345252050511
인구밀집지역,48,POI048,장지역,Jangji station,127.12617656737,37.4786316933099
인구밀집지역,49,POI049,장한평역,Janghanpyeong station,127.06370373106944,37.5616038910656
인구밀집지역,50,POI050,천호역,Cheonho station,127.12392845044,37.5385112120297
인구밀집지역,51,POI051,총신대입구(이수)역,Chongshin University(Isu) station,126.982211871752,37.4867995957995
인구밀집지역,52,POI052,충정로역,Chungjeongno station,126.96449207476172,37.55976328822766
인구밀집지역,53,POI053,합정역,Hapjeong station,126.91445406513526,37.54991315995173
인구밀집지역,54,POI054,혜화역,Hyehwa station,127.00194500977393,37.58204391787134
인구밀집지역,55,POI055,홍대입구역(2호선),Hongik University station(Line 2),126.923778562273,37.5568707448873
인구밀집지역,56,POI056,회기역,Hoegi station,127.058048369273,37.5897962196601
발달상권,57,POI057,4·19 카페거리,4·19 Cafe street,127.004467728667,37.644185949233
발달상권,58,POI058,가락시장,Garak Market,127.110927336635,37.4938884413034
발달상권,59,POI059,가로수길,Garosu-gil,127.02272940977892,37.520819816124934
발달상권,60,POI060,광장(전통)시장,Gwangjang(Traditional) Market,126.999705691588,37.5701111625175
발달상권,61,POI061,김포공항,Gimpo Airport,126.80278135337612,37.55867678737794
발달상권,62,POI062,낙산공원·이화마을,Naksan Park·Ihwa Village,127.004347108113,37.5769802677812
발달상권,63,POI063,노량진,Noryangjin,126.949951101496,37.5134889443798
발달상권,64,POI064,덕수궁길·정동길,Deoksugung-gil·Jeongdong-gil,,
발달상권,65,POI065,방배역 먹자골목,Bangbae food alley,126.996124195407,37.4824363862453
발달상권,66,POI066,북촌한옥마을,Bukchon Hanok Village,126.98481245064092,37.581768153833444
발달상권,67,POI067,서촌,Seochon,126.9731106965,37.578728818102
발달상권,68,POI068,성수카페거리,Seongsu Cafe Street,127.043028992489,37.5464440372535
발달상권,69,POI069,수유리 먹자골목,Suyuri food alley,127.024903302958,37.6389045375874
발달상권,70,POI070,쌍문동 맛집거리,Ssangmun-dong restaurant street,127.01354375024049,37.65077054521106
발달상권,71,POI071,압구정로데오거리,Apgujeong Rodeo Street,127.039152029523,37.5267558230172
발달상권,72,POI072,여의도,Yeouido,126.947545050571,37.5250892160129
발달상권,73,POI073,연남동,Yeonnam-dong,126.926725005048,37.5621542536479
발달상권,74,POI074,영등포 타임스퀘어,Yeongdeungpo Time square,126.90307140055172,37.51710523750273
발달상권,75,POI075,외대앞,Hankuk University of Foreign Studies,127.06369251145765,37.596274142656114
발달상권,76,POI076,용리단길,Yongnidan-gil,126.972204479602,37.5314514583385
발달상권,77,POI077,이태원 앤틱가구거리,Itaewon Antiques street,126.994383719145,37.5335268984122
발달상권,78,POI078,인사동,Insa-dong,126.985591616819,37.5745467832909
발달상권,79,POI079,창동 신경제 중심지,Changdong New Economic Center,,
발달상권,80,POI080,청담동 명품거리,Cheongdam-dong Luxury Fashion street,127.046048046817,37.5261262382238
발달상권,81,POI081,청량리 제기동 일대 전통시장,Traditional market in Cheongnyangni Jegi-dong ,,
발달상권,82,POI082,해방촌·경리단길,Haebangchon·Gyeongnidan-gil,126.9875536196624,37.5392756606163
발달상권,83,POI083,DDP(동대문디자인플라자),DDP(Dongdaemun Design Plaza),127.009911013917,37.5671843130818
발달상권,84,POI084,DMC(디지털미디어시티),DMC(Digital Media City),126.89793381953788,37.57677404533607
공원,85,POI085,강서한강공원,Gangseo Hangang Park,126.81312520288417,37.58837414475718
공원,86,POI086,고척돔,Gocheok Dome,126.867104761712,37.4982338495579
공원,87,POI087,광나루한강공원,Gwangnaru Hangang Park,127.1183161576554,37.54413379806722
공원,88,POI088,광화문광장,Gwanghwamun Square,126.97691639601517,37.572602860810186
공원,89,POI089,국립중앙박물관·용산가족공원,The National Museum of Korea·Yongsan Family Park,126.978511291988,37.5216426639857
공원,90,POI090,난지한강공원,Nanji Hangang Park,126.875607758973,37.5670399093241
공원,91,POI091,남산공원,Namsan Park,126.989316855952,37.5524979951415
공원,92,POI092,노들섬,Nodeul island,126.95803386590158,37.51766013568054
공원,93,POI093,뚝섬한강공원,Ttukseom Hangang Park,127.06892112991,37.5292974433415
공원,94,POI094,망원한강공원,Mangwon Hangang Park,126.900027640945,37.5517245459018
공원,95,POI095,반포한강공원,Banpo Hangang Park,126.99716104081192,37.51081992690844
공원,96,POI096,북서울꿈의숲,Dream Forest,127.04157251496886,37.62360650548208
공원,97,POI097,불광천,Bulgwangcheon River,126.906234509821,37.5800209041095
공원,98,POI098,서리풀공원·몽마르뜨공원,Seoripul Park·Montmartre Park,127.003858379724,37.4953712551069
공원,99,POI099,서울광장,Seoul Plaza,126.977968926957,37.5656726042805
공원,100,POI100,서울대공원,Seoul Grand Park,127.01389825362084,37.436451567677
공원,101,POI101,서울숲공원,Seoul Forest,127.037617759165,37.5443222301513
공원,102,POI102,아차산,Achasan,127.10274196113546,37.56684449678786
공원,103,POI103,양화한강공원,Yanghwa Hangang Park,126.90293825104,37.5378083426973
공원,104,POI104,어린이대공원,Children's Grand Park,127.08378909469191,37.55147044344215
공원,105,POI105,여의도한강공원,Yeouido Hangang Park,126.93512931714196,37.52638860108943
공원,106,POI106,월드컵공원,World Cup Park,126.897635431027,37.5631939895966
공원,107,POI107,응봉산,Eungbongsan,127.029834156041,37.5482528089186
공원,108,POI108,이촌한강공원,Ichon Hangang Park,126.970526590861,37.5172404421072
공원,109,POI109,잠실종합운동장,Jamsil (Seoul) Sports Complex,127.073024865801,37.5145906150942
공원,110,POI110,잠실한강공원,Jamsil Hangang Park,127.082357837214,37.5177992564873
공원,111,POI111,잠원한강공원,Jamwon Hangang Park,127.019046713623,37.5273338139916
공원,112,POI112,청계산,Cheonggyesan,127.0415086008533,37.42263611257473
공원,113,POI113,청와대,Cheongwadae,126.9748537345249,37.58657325133722
발달상권,114,POI114,북창동 먹자골목,Bukchang-dong food alley,126.978006379609,37.5614811760833
발달상권,115,POI115,남대문시장,Namdaemun Market,126.9776267740439,37.55918176072071
발달상권,116,POI116,익선동,Ikseon-dong,126.989775723896,37.5734371942191
